X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-3884.34741136967,-31809.3113505034,0,AcDbEntity:AcDbPoint,,,618E,
-3511.40256012691,-29456.4873798163,0,AcDbEntity:AcDbPoint,,,618F,
-7261.58168617578,-29936.5984689807,0,AcDbEntity:AcDbPoint,,,6190,
-8424.48500819062,-30030.3341708288,0,AcDbEntity:AcDbPoint,,,6191,
-11092.5980836429,-29496.0404747469,0,AcDbEntity:AcDbPoint,,,6192,
-16014.8577865328,-31005.2049969226,0,AcDbEntity:AcDbPoint,,,6193,
-12700.2609814298,-28393.2370539802,0,AcDbEntity:AcDbPoint,,,6194,
-20840.5574928047,-21734.3147443345,0,AcDbEntity:AcDbPoint,,,6195,
-17566.4101900186,-24637.2266913735,0,AcDbEntity:AcDbPoint,,,6196,
-16141.1929376813,-23882.6234787037,0,AcDbEntity:AcDbPoint,,,6197,
-13984.1076705476,-24598.7264832782,0,AcDbEntity:AcDbPoint,,,6198,
-13373.2050168744,-21867.8137553195,0,AcDbEntity:AcDbPoint,,,6199,
-15376.2129255977,-26025.8309218817,0,AcDbEntity:AcDbPoint,,,619A,
-15237.2262142406,-27290.3277578856,0,AcDbEntity:AcDbPoint,,,619B,
-11762.7781205821,-26558.8247818147,0,AcDbEntity:AcDbPoint,,,619C,
-10961.5749570928,-26705.1253490935,0,AcDbEntity:AcDbPoint,,,619D,
-11446.919248419,-24556.8164750471,0,AcDbEntity:AcDbPoint,,,619E,
-9181.97955547279,-26127.6229260495,0,AcDbEntity:AcDbPoint,,,619F,
-9667.32384679903,-27829.3299728343,0,AcDbEntity:AcDbPoint,,,61A0,
-8604.18889908679,-25272.9194796216,0,AcDbEntity:AcDbPoint,,,61A1,
-7530.56630282709,-25688.7037645616,0,AcDbEntity:AcDbPoint,,,61A2,
-14585.7453432463,-20082.1961812381,0,AcDbEntity:AcDbPoint,,,61A3,
-19935.5737958656,-19435.2367495954,0,AcDbEntity:AcDbPoint,,,61A4,
-18500.6344368401,-18772.6879441547,0,AcDbEntity:AcDbPoint,,,61A5,
-9024.5711027428,-22491.4067255944,0,AcDbEntity:AcDbPoint,,,61A6,
-7560.28422291885,-22467.9271256835,0,AcDbEntity:AcDbPoint,,,61A7,
-7270.55899536452,-23180.1390024446,0,AcDbEntity:AcDbPoint,,,61A8,
1300.19847938541,-25025.6792185318,0,AcDbEntity:AcDbPoint,,,61A9,
1854.837430413,-24420.9203237242,0,AcDbEntity:AcDbPoint,,,61AA,
