"ID";"Year";"global_id";"AdmArea";"District";"Address";"EstimatedindexValue";"PollutionCategory";"PollutionLevel";"geoData";
"5946";"2020";"1088681219";"Юго-Западный административный округ";"район Котловка";"город Москва, Нагорная улица, дом 20, корпус 5";"7.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.6030855409661, 55.6801967719418]}";
"5947";"2020";"1088681272";"Южный административный округ";"Даниловский район";"город Москва, 2-й Кожуховский проезд, дом 12, строение 4";"5.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.6540871913464, 55.6994385297608]}";
"5948";"2020";"1088681160";"Юго-Восточный административный округ";"район Лефортово";"город Москва, улица Золоторожский Вал, дом 4, строение 2";"3.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.6893705382689, 55.7546413106471]}";
"5949";"2020";"1088681163";"Юго-Восточный административный округ";"район Лефортово";"город Москва, 1-й Краснокурсантский проезд, дом 3/5, корпус 11";"12.7";"допустимая";"слабый";"{type=Point, coordinates=[37.6936233216576, 55.7601342602003]}";
"5950";"2020";"1088681161";"Юго-Восточный административный округ";"район Лефортово";"город Москва, Красноказарменная улица, дом 3, строение 6";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.6891131925533, 55.7620437649406]}";
"5951";"2020";"1088681193";"Юго-Восточный административный округ";"Нижегородский район";"город Москва, шоссе Фрезер, дом 32, строение 3";"10.7";"допустимая";"слабый";"{type=Point, coordinates=[37.7329564694538, 55.735131115187]}";
"5952";"2020";"1088680576";"Восточный административный округ";"район Перово";"город Москва, 2-я улица Энтузиастов, дом 3";"12.2";"допустимая";"слабый";"{type=Point, coordinates=[37.728316918169, 55.7497048250776]}";
"5954";"2020";"1088680573";"Восточный административный округ";"район Перово";"город Москва, улица Лазо, дом 7, строение 4";"3.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.773709167031, 55.7418518140485]}";
"5955";"2020";"1088680613";"Восточный административный округ";"район Новогиреево";"город Москва, Перовская улица, дом 62";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.794124843059, 55.744868092774]}";
"5956";"2020";"1088680616";"Восточный административный округ";"район Ивановское";"город Москва, Зелёный проспект, дом 89, корпус 1";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.824492132222, 55.7512067614578]}";
"5957";"2020";"1088680617";"Восточный административный округ";"район Ивановское";"город Москва, Саянская улица, дом 5, корпус 1";"12.1";"допустимая";"слабый";"{type=Point, coordinates=[37.8288008967699, 55.7679145927258]}";
"5958";"2020";"1088681233";"Юго-Западный административный округ";"район Северное Бутово";"город Москва, Коктебельская улица, дом 11, строение 3";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.5850853314559, 55.5637435027198]}";
"5959";"2020";"1088681250";"Юго-Западный административный округ";"район Южное Бутово";"город Москва, Южнобутовская улица, дом 62";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.5275314823971, 55.5361493457957]}";
