Name;Adress;Description;Year;X;Y
"Стартовая площадка";"Солнечная аллея, влд. 936 (Старое Крюково, мкр. N 9, корп. 936)";"";2022;55.6227646;37.6666311
"Дорога от Калужского шоссе до магистрали Солнцево – Бутово – Варшавское шоссе";"";"Разрабатывается проект строительства новой магистральной четырехполосной дороги районного значения в поселке Коммунарка Новой Москвы. Она соединит Калужское шоссе с магистралью Солнцево – Бутово – Варшавское шоссе через деревню Бачурино. Длина трассы составит 4,3 км.";;;
"Строительство и реконструкция дорог в&nbsp;Коммунарке";"";"Коммунарка – одна из точек роста Новой Москвы. Здесь строятся жилые районы с социальными объектами, дворец спорта, кампус для колледжей и многое другое. В июне 2019 года в поселке открыли две станции метро – «Ольховая» и «Коммунарка». В будущем здесь появится крупный транспортно-пересадочный узел.";;;
"Развязка МКАД – Осташковское шоссе";"";"На пересечении МКАД с Осташковским шоссе была старая «клеверная» развязка. Транспортные потоки на съездах пересекались - в результате образовывалась пробка на этих магистралях. После реконструкции здесь появится современная развязка с направленными съездами.";;;
"Жилой дом со встроенно-пристроенной подземной автостоянкой";"ул. Ясеневая";"";2021;55.6029102;37.7296195
"Храм в честь иконы Божией Матери «Всех скорбящих радость»";"Сокольники, Матросская Тишина ул., вл. 18 (ВАО, Сокольники) Присвоенный адрес: Москва, ул. Матросская Тишина, д. 18, стр. 20";"";2020;55.7906923;37.6981914
"Общежитие квартирного типа";"ул. Хавская, вл. 9";"";2022;55.7161575;37.6138347
"Дошкольная образовательная организация на 220 мест. Корпус 9. 5-й этап строительства  Жилого комплекса с объектами соцкультбыта";"Высоковольтный проезд, присвоенный адрес: 127566, г. Москва, проезд Высоковольтный, д. 5А";"";2020;55.874534;37.5978511
"Новые дороги для Троицка";"Россия, Москва, Троицк";"Троицк – город, поселение и городской округ в составе Троицкого административного округа Новой Москвы, который находится в 20 км от МКАД по Калужскому шоссе.";;55.4846387;37.3067639
"Здание гостиницы с 2-х этажными торговыми помещениями и подземной автостоянкой";"Москва, ВАО, Косино-Ухтомский, Старостина Николая ул. вл. 14";"";2023;55.730986;37.8545182
"Жилые дома со сносом существующих строений, инженерной подготовкой, инженерным обеспечением, благоустройством и озеленением территории района Ховрино, Клинская ул., вл. 2. Этап 2: 1-я очередь строительства жилых домов. Корпус 1";"Ховрино, Клинская ул., вл. 2";"";2022;55.8657753;37.5067748
"Малоэтажная жилая застройка на з.у. №№ 101, 100 (8 ж/домов)";"П. Новофёдоровское, д. Зверево, ЖК "Борисоглебское"";"";2023;55.4999776;36.9261465
"Гостиничный комплекс с апартаментами";"Магистральная 1-я ул., д. 25";"";2021;55.7649168;37.5229573
"Комплексная застройка территории по адресу: г. Москва, п. Сосенское, пос. Коммунарка, многоквартирные жилые дома с нежилыми помещениями";"п. Сосенское, пос. Коммунарка";"";2020;55.5704931;37.4754231
"Дорога от Родниковой улицы до Киевского шоссе";"";"Новая четырехполосная дорога соединит Родниковую улицу в районе Солнцево с Киевским шоссе возле торговых комплексов. Она протянется от проектируемого проезда № 6662 до Киевского шоссе, к которому примкнет возле торгового центра «Леруа Мерлен» и гипермаркета «Метро».";;;
"Многофункциональный комплекс с апартаментами и подземной автостоянкой, Корпуса 1, 2 (1 этап)";"Москва, СЗАО, Щукино, Волоколамское шоссе вл. 24";"";2023;55.8122448;37.4844743
"Реконструкция Торгового дома "Родник"";"Москва, ЗАО, район Крылатское, Осенний бульвар, д. 12, корп. 6";"";2022;55.7582573;37.4138856
"Многоэтажные жилые дома";"г. Москва, поселение Десеновское, ш. Калужское, вл. 52Б, 35 км";"";2021;55.7540471;37.620405
"Многофункциональный жилой комплекс с подземной автостоянкой";"ш. Дмитровское, вл. 71, корп. 2, стр. 1-6";"";2020;55.8548297;37.5598592
"Строительство магазина";"Москва, СЗАО, Митино, ул. Барышиха, вл. 48";"";2021;55.8578894;37.3439741
"Здание складского комплекса с АБК. Реконструкция объекта незавершенного строительства.";"Москва, ул. Касимовская, пр. пр. 3989";"";2021;55.5947725;37.6559827
"Общественно-торговый комплекс";"Макарова адмирала ул., вл. 41";"";2020;55.8381277;37.4872576
"Реорганизация Бадаевского пивзавода";"Кутузовский проспект, 12";"";2023;55.7489085;37.5572681
"Реконструкция с элементами реставрации объекта: «павильон №17 «Лесное хозяйство и лесная промышленность», расположенный на территории Достопримечательного места «ВСХВ-ВДНХ-ВВЦ»";"Москва, СВАО, Останкинский, Мира просп. д. 119 стр. 17";"";2021;55.831293;37.6241551
"Завершение строительства учебно-лабораторных корпусов";"Москва, ЗАО, район Тропарево-Никулино, проспект Вернадского, д. 96, корп.3 и вл. 90, корп. 12";"";2021;55.595491;37.342966
"Общественная зона для обслуживания пассажиров Транспортно-пересадочного узла и посетителей ММДЦ «Москва-Сити» (1-я очередь строительства) - корректировка в части исключения объемов строительства транспортно-пересадочного узла";"Москва, ЦАО, район Пресненский, подэстакадное пространство 3-го транспортного кольца в районе ММДЦ «Москва-Сити»";"";2021;55.595491;37.342966
"Спортивный комплекс по адресу: мкр.9 у площади Колумба (государственное бюджетное учреждение «СШ № 112 «Спутник» Москомспорта)";"Москва, ЗелАО, Старое Крюково, Зеленоград мкр. 9";"";2022;55.969296;37.175369
"Многофункциональный жилой комплекс с встроенными нежилыми помещениями и подземной автостоянкой";"ул. Зорге, вл. 9";"";2023;55.7820146;37.5097171
