"ID";"ObjectNameOnDoc";"global_id";"ObjectName";"Link";"geodata_center";"geoarea";
"7725";"Охранная (объединенная охранная) зона222";"19657619";"";"[]";"{""coordinates"":[37.591176310682,55.758498089691],""type"":""Point""}";"";
"7726";"Охранная (объединенная охранная) зона";"19657620";"";"[]";"{""coordinates"":[37.6055755637472,55.741674381779],""type"":""Point""}";"";
"7727";"Охранная (объединенная охранная) зона";"19657621";"";"[]";"{""coordinates"":[37.5997300490707,55.7436585065995],""type"":""Point""}";"";
"7728";"Охранная (объединенная охранная) зона";"19657622";"";"[]";"{""coordinates"":[37.5951738009972,55.7386921204895],""type"":""Point""}";"";
"7729";"Охранная (объединенная охранная) зона";"19657623";"";"[]";"{""coordinates"":[37.591874982319,55.7390832949],""type"":""Point""}";"";
"7730";"Охранная (объединенная охранная) зона";"19657624";"";"[]";"{""coordinates"":[37.5943769915236,55.741522439178],""type"":""Point""}";"";
"7731";"Охранная (объединенная охранная) зона";"19657625";"";"[]";"{""coordinates"":[37.6069804539098,55.74823223474],""type"":""Point""}";"";
"7732";"Охранная (объединенная охранная) зона";"19657626";"";"[]";"{""coordinates"":[37.6002681062974,55.747782824711],""type"":""Point""}";"";
"9516";"Охранная (объединенная охранная) зона";"19657627";"";"[]";"{""coordinates"":[37.5977431774516,55.748661699102],""type"":""Point""}";"";
"9517";"Охранная (объединенная охранная) зона";"19657628";"";"[]";"{""coordinates"":[37.6217850499859,55.76913747122],""type"":""Point""}";"";
"9518";"Охранная (объединенная охранная) зона";"19657629";"";"[]";"{""coordinates"":[37.6244491788964,55.772215527339],""type"":""Point""}";"";
"9519";"Охранная (объединенная охранная) зона";"19657630";"";"[]";"{""coordinates"":[37.627448855175,55.7727143933375],""type"":""Point""}";"";
"7733";"Охранная (объединенная охранная) зона";"19657631";"";"[]";"{""coordinates"":[37.6288694851298,55.7636936463005],""type"":""Point""}";"";
"9520";"Охранная (объединенная охранная) зона";"19657632";"";"[]";"{""coordinates"":[37.6350261984164,55.7632692173235],""type"":""Point""}";"";
"9521";"Охранная (объединенная охранная) зона";"19657633";"";"[]";"{""coordinates"":[37.6305813534976,55.76965504378],""type"":""Point""}";"";
